No,Chinese,Pinyin,English
2358,指标,zhǐbiāo,index
2359,指定,zhǐdìng,Appoint
2360,指甲,zhǐjia,nail
2361,指令,zhǐlìng,instructions
2362,指南针,zhǐnánzhēn,Compass
2363,指示,zhǐshì,Instructions
2364,指望,zhǐwàng,expect; figure on
2365,指责,zhǐzé,Accuse
2366,治安,zhì’ān,public security
2367,治理,zhìlǐ,Government
2368,制裁,zhìcái,Sanction
2369,制服,zhìfú,uniform
2370,制约,zhìyuē,restrict
2371,制止,zhìzhǐ,Stop it
2372,致辞,zhìcí,Speech
2373,致力,zhìlì,devote oneself to
2374,致使,zhìshǐ,cause
2375,智力,zhìlì,intelligence
2376,智能,zhìnéng,Intelligence
2377,智商,zhìshāng,intelligence quotient
2378,滞留,zhìliú,retention
2379,志气,zhìqì,Ambition
2380,忠诚,zhōngchéng,loyal
2381,忠实,zhōngshí,Faithful
2382,终点,zhōngdiǎn,End
2383,终究,zhōngjiū,after all
2384,终身,zhōngshēn,lifelong
2385,终止,zhōngzhǐ,termination
2386,中断,zhōngduàn,interrupt
2387,中立,zhōnglì,neutral
2388,中央,zhōngyāng,center
2389,衷心,zhōngxīn,Heartfelt
2390,种子,zhǒngzi,seed
2391,种族,zhǒngzú,race
2392,种植,zhòngzhí,plant
2393,肿瘤,zhǒngliú,tumour
2394,重心,zhòngxīn,Focus
2395,众所周知,zhòngsuǒzhōuzhī,As everyone knows
2396,州,zhōu,State
2397,舟,zhōu,boat
2398,粥,zhōu,Porridge
2399,周边,zhōubiān,periphery
2400,周密,zhōumì,thorough; careful
2401,周年,zhōunián,anniversary
2402,周期,zhōuqī,period cycle
2403,周折,zhōuzhé,Twists and turns
2404,周转,zhōuzhuǎn,turnover
2405,皱纹,zhòuwén,Wrinkle
2406,昼夜,zhòuyè,Day and night
2407,株,zhū,plant (measure word)
2408,诸位,zhūwèi,every one
2409,逐年,zhúnián,year by year
2410,拄,zhǔ,lean on a stick
2411,主办,zhǔbàn,Host
2412,主导,zhǔdǎo,leading
2413,主管,zhǔguǎn,Executive director
2414,主流,zhǔliú,Main stream
2415,主权,zhǔquán,sovereignty
2416,主义,zhǔyì,doctrine
2417,嘱咐,zhǔfù,Charge someone with a task
2418,住宅,zhùzhái,residence
2419,注射,zhùshè,injection
2420,注视,zhùshì,Gaze
2421,注释,zhùshì,note; annotation
2422,注重,zhùzhòng,pay attention to
2423,助理,zhùlǐ,assistant
2424,助手,zhùshǒu,assistant
2425,著作,zhùzuò,Work
2426,驻扎,zhùzhā,Be stationed
2427,铸造,zhùzào,"casting, foundry"
2428,拽,zhuài,drag; haul
2429,专长,zhuāncháng,Expertise
2430,专程,zhuānchéng,Special-purpose trip
2431,专利,zhuānlì,patent
2432,专题,zhuāntí,special collection
2433,砖,zhuān,Brick
2434,转达,zhuǎndá,Convey
2435,转让,zhuǎnràng,make over; transfer
2436,转移,zhuǎnyí,transfer
2437,转折,zhuǎnzhé,Transition
2438,传记,zhuànjì,biography
2439,装备,zhuāngbèi,equipment
2440,装卸,zhuāngxiè,Loading and unloading
2441,庄严,zhuāngyán,solemn
2442,庄重,zhuāngzhòng,grand; superb
2443,庄稼,zhuāngjia,crops
2444,幢,zhuàng,Building (meaure word)
2445,壮观,zhuàngguān,grand; sublime
2446,壮丽,zhuànglì,Magnificent
2447,壮烈,zhuàngliè,brave; heroic
2448,追悼,zhuīdào,mour for
2449,追究,zhuījiū,Investigate
2450,坠,zhuì,fall
2451,准则,zhǔnzé,criterion
2452,琢磨,zhuómó,Pondering
2453,着手,zhuóshǒu,To start
2454,着想,zhuóxiǎng,consider
2455,着重,zhuózhòng,Emphasize
2456,卓越,zhuóyuè,Excellent
2457,资本,zīběn,capital
2458,资产,zīchǎn,capital; asset
2459,资深,zīshēn,senior
2460,资助,zīzhù,give financial aid
2461,姿态,zītài,attitude
2462,滋味,zīwèi,Taste
2463,滋润,zīrùn,moisturize
2464,子弹,zǐdàn,Bullet
2465,自卑,zìbēi,inferiority
2466,自发,zìfā,spontaneous; unprompted
2467,自力更生,zìlìgēngshēng,Rely through one’s own efforts
2468,自满,zìmǎn,Complacent
2469,自主,zìzhǔ,Autonomy
2470,踪迹,zōngjì,tail; trail; trace
2471,宗教,zōngjiào,Religion
2472,宗旨,zōngzhǐ,Purpose
2473,棕色,zōngsè,brown
2474,总而言之,zǒng’éryánzhī,To make a long story short
2475,总和,zǒnghé,summation
2476,纵横,zònghéng,in length and breadth
2477,走廊,zǒuláng,corridor
2478,走漏,zǒulòu,leak out
2479,走私,zǒusī,smuggle
2480,揍,zòu,Beat
2481,租赁,zūlìn,Lease
2482,足以,zúyǐ,Enough
2483,阻碍,zǔ’ài,hinder
2484,阻拦,zǔlán,block off
2485,阻挠,zǔnáo,obstruct; stand in the way
2486,祖父,zǔfù,grandfather
2487,祖国,zǔguó,Motherland
2488,祖先,zǔxiān,Ancestors
2489,钻研,zuānyán,Study intensively
2490,钻石,zuànshí,Diamonds
2491,嘴唇,zuǐchún,Lips
2492,罪犯,zuìfàn,Criminal
2493,尊严,zūnyán,dignity
2494,遵循,zūnxún,follow
2495,做主,zuòzhǔ,decide
2496,座右铭,zuòyòumíng,Motto
2497,作弊,zuòbì,Cheat
2498,作废,zuòfèi,"cancel, blank out"
2499,作风,zuòfēng,style
2500,作息,zuòxī,work and rest
